,U_val,U_err,n_val,n_err,nh_val,nh_err,ns_val,ns_err,nd_val,nd_err,dx,dy,c_dd_val,c_dd_err,c_dh_val,c_dh_err,c_ds_val,c_ds_err,c_hh_val,c_hh_err,c_nd_val,c_nd_err,c_nh_val,c_nh_err,c_nn_val,c_nn_err,c_ns_val,c_ns_err,c_sh_val,c_sh_err,c_ss_val,c_ss_err
19,7.1,0.407,0.2900217582847221,0.012345852554688822,0.7136232046081281,0.012472990083214808,0.2827318324990216,0.012703230074280227,0.0036449628928502285,0.0011491663043842735,1.0,0.0,0.00010194514571833462,0.00010022621119175777,8.288993586513941e-05,0.00024098718535796852,-0.00018483508158347392,0.0002185059008359285,-0.009566390446671147,0.00284642742424212,1.9055209853195286e-05,0.0002974817727745699,0.0096492803825363,0.0029023439408859277,-0.009630225172683205,0.0029762805111862045,-0.00966833559238959,0.0028576119105634913,0.00948350051080602,0.002810132996633918,-0.009298665429222638,0.0027790715614297756
20,7.1,0.407,0.2900217582847221,0.012345852554688822,0.7136232046081281,0.012472990083214808,0.2827318324990216,0.012703230074280227,0.0036449628928502285,0.0011491663043842735,1.0,1.0,-2.532117744633349e-05,2.129585138733545e-05,0.00011572594319909655,0.00018761800069889146,-9.040476575276291e-05,0.00020174092725497859,0.00019119757408356068,0.0018774357717866999,-0.00014104712064542992,0.00017495328866706908,-7.547163088446421e-05,0.001807408563386913,-6.557548976102584e-05,0.001756383818991451,0.00021651875152983353,0.001873441917120598,-0.00030692351728265157,0.001962958345899473,0.00039732828303536,0.002068338734856458
21,7.1,0.407,0.2900217582847221,0.012345852554688822,0.7136232046081281,0.012472990083214808,0.2827318324990216,0.012703230074280227,0.0036449628928502285,0.0011491663043842735,2.0,0.0,3.44593752855313e-05,8.067683550208062e-05,-0.0002793971789113407,0.00027383394061257147,0.00024493780362580943,0.00025425007086313575,0.004155273791540404,0.0019150075919409514,0.00031385655419687215,0.00031359920137361404,-0.004434670970451707,0.0020650006227813616,0.004748527524648536,0.0022620115624250063,0.0041208144162547915,0.0018995914702469232,-0.0038758766126290294,0.0017945056802245367,0.0036309388090031724,0.0017208543564024392
22,7.1,0.407,0.2900217582847221,0.012345852554688822,0.7136232046081281,0.012472990083214808,0.2827318324990216,0.012703230074280227,0.0036449628928502285,0.0011491663043842735,2.0,1.0,-3.482773878491008e-05,2.0276962981320882e-05,5.908885735056699e-05,0.00018394608258399603,-2.426111856565721e-05,0.00018055590307859454,0.001152687859915317,0.0017047191623834705,-9.391659613547731e-05,0.00018945764411857694,-0.0010935990025647436,0.0017887652195075958,0.00099968240642928,0.0018906161957860147,0.0011875155987002312,0.0017019755636029515,-0.0012117767172658768,0.0016371090853301976,0.0012360378358315428,0.001590198844079815
23,7.1,0.407,0.2900217582847221,0.012345852554688822,0.7136232046081281,0.012472990083214808,0.2827318324990216,0.012703230074280227,0.0036449628928502285,0.0011491663043842735,2.0,2.0,-3.259974995313622e-05,2.35539345589231e-05,0.00010532174411552216,0.00020975423871537392,-7.272199416238605e-05,0.00021840036427883984,0.003977184817201607,0.002072365741305149,-0.0001379214940686585,0.0002034810503890088,-0.003871863073086069,0.002146677067918099,0.003733941579017332,0.002229757936465777,0.004009784567154654,0.0020802484198656273,-0.004082506561317123,0.002017218574885544,0.004155228555479426,0.0019764375799926673
24,7.1,0.407,0.4162059669839646,0.012586493615905435,0.5912851666729978,0.011738391446125292,0.40122369967003996,0.011077513967705553,0.007491133656962313,0.0016660536850599617,0.0,0.0,0.006656142004509247,0.0014356364124372282,-0.003486411047004897,0.0007248795770644099,-0.003169730957504352,0.0008541869360183554,0.21007146186701864,0.006558329712174586,0.010142553051514147,0.002107930098048083,-0.21355787291402364,0.006844347245568559,0.2237004259655377,0.008044294046728922,0.20341531986250944,0.006153555908750619,-0.20658505082001388,0.006342648406758193,0.20975478177751805,0.006637122715809405
25,7.1,0.407,0.4162059669839646,0.012586493615905435,0.5912851666729978,0.011738391446125292,0.40122369967003996,0.011077513967705553,0.007491133656962313,0.0016660536850599617,1.0,0.0,3.8972596066350906e-05,7.855337714890516e-05,0.00034662919498472253,0.0003298485818011517,-0.0003856017910510733,0.000347021104625049,-0.017548301632627283,0.0029589259496306756,-0.00030765659891837145,0.00033093472604166105,0.017894930827612007,0.003063479337844231,-0.018202587426530366,0.003176182936982142,-0.01758727422869363,0.0029834055780971727,0.01720167243764254,0.00288845634746829,-0.01681607064659148,0.0028331075858761667
26,7.1,0.407,0.4162059669839646,0.012586493615905435,0.5912851666729978,0.011738391446125292,0.40122369967003996,0.011077513967705553,0.007491133656962313,0.0016660536850599617,1.0,1.0,-0.00010126342377058485,7.739923723359721e-05,0.00026958228883575824,0.0004655815103234624,-0.00016831886506517348,0.0005052144782357022,-0.000644960551190458,0.001989473516404345,-0.00037084571260634326,0.0004362016739306096,0.0009145428400262066,0.0020594357722817772,-0.0012853885526325538,0.00222814888785916,-0.0005436971274198741,0.0019744487166092075,0.0003753782623546938,0.0020268858700738476,-0.00020705939728952,0.0021974003422518392
27,7.1,0.407,0.4162059669839646,0.012586493615905435,0.5912851666729978,0.011738391446125292,0.40122369967003996,0.011077513967705553,0.007491133656962313,0.0016660536850599617,2.0,0.0,-3.819654279644719e-05,8.731214101020783e-05,-0.00041739618204723796,0.0003483916255926553,0.00045559272484368534,0.00031384065673810445,0.003989998368060812,0.0023929268951857203,0.0003791996392507908,0.0003993799089588189,-0.004407394550108083,0.0023080983192561677,0.004786594189358908,0.002239662162835888,0.004028194910857325,0.002440810873957222,-0.0035726021860135967,0.0025234170978297656,0.0031170094611699516,0.002640966090743193
28,7.1,0.407,0.4162059669839646,0.012586493615905435,0.5912851666729978,0.011738391446125292,0.40122369967003996,0.011077513967705553,0.007491133656962313,0.0016660536850599617,2.0,1.0,-7.790660954618156e-05,3.8242300375534454e-05,-0.00012353687383608137,0.00036199263029222683,0.00020144348338226186,0.0003559119690007486,0.0019381016868623942,0.0020667428396842565,4.5630264289898724e-05,0.00037192599555530475,-0.0020616385606984514,0.0022127237395260543,0.0021072688249883518,0.0024177803304529966,0.0020160082964085567,0.002055064198739017,-0.0018145648130262898,0.0019770642154673416,0.0016131213296440303,0.0019615360365235236
